code,name,city,cityname
BTT,BATUTULIS,BATUTULIS,KABUPATEN BOGOR
BOO,BOGOR,BOGOR,KOTA BOGOR
KYA,KROYA,KROYA,KABUPATEN CILACAP
SPH,SUMPIUH,SUMPIUH,KABUPATEN BANYUMAS
KA,KARANGANYAR,KARANGANYAR,KABUPATEN KEBUMEN
KM,KEBUMEN,KEBUMEN,KABUPATEN KEBUMEN
KWN,KUTOWINANGUN,KUTOWINANGUN,KABUPATEN KEBUMEN
GBN,GAMBRINGAN,GAMBRINGAN,KABUPATEN GROBOGAN
NBO,NGROMBO,NGROMBO,KABUPATEN GROBOGAN
WR,WARU,WARU,SIDOARJO
KRN,KRIAN,KRIAN,SIDOARJO
MR,MOJOKERTO,MOJOKERTO,KOTA MOJOKERTO
CRM,CURAHMALANG,CURAHMALANG,KABUPATEN JOMBANG
JG,JOMBANG,JOMBANG,KABUPATEN JOMBANG
SMB,SEMBUNG,SEMBUNG,KABUPATEN JOMBANG
KTS,KERTOSONO,KERTOSONO,KABUPATEN NGANJUK
NJ,NGANJUK,NGANJUK,KABUPATEN NGANJUK
CRB,CARUBAN,CARUBAN,KOTA MADIUN
MN,MADIUN,MADIUN,KOTA MADIUN
GG,GENENG,GENENG,KABUPATEN NGAWI
PA,PARON,PARON,KABUPATEN NGAWI
KG,KEDUNGGALAR,KEDUNGGALAR,KABUPATEN NGAWI
WK,WALIKUKUN,WALIKUKUN,KABUPATEN NGAWI
SR,SRAGEN,SRAGEN,KABUPATEN SRAGEN
SK,SOLOJEBRES,SOLOJEBRES,KOTA SOLO
RGP,ROGOJAMPI,ROGOJAMPI,KABUPATEN BANYUWANGI
TGR,TEMUGURUH,TEMUGURUH,KABUPATEN BANYUWANGI
KSL,KALISETAIL,KALISETAIL,KABUPATEN BANYUWANGI
SWD,SUMBER WADUNG,SUMBER WADUNG,KABUPATEN BANYUWANGI
GLM,GLENMORE,GLENMORE,KABUPATEN BANYUWANGI
KBR,KALIBARU,KALIBARU,KABUPATEN BANYUWANGI
KLT,KALISAT,KALISAT,KABUPATEN JEMBER
